Subject,Intervention,Day,Trial,Timer,startTime,finishTime,fixID,Position,Distance,shotFired
2,1,2,8,26.68,27.038,27.242,A,1,5,0
2,1,2,8,26.68,27.31,27.667,C,2,7,0
2,1,2,8,26.68,27.752,28.041,D,3,9,0
2,1,2,8,26.68,28.092,28.466,B,4,9,0
2,1,2,8,26.68,28.568,28.908,C,2,7,0
2,1,2,8,26.68,28.976,29.282,D,3,9,0
2,1,2,8,26.68,29.384,30.37,B,4,9,1
2,1,2,9,27.8,28.734,28.921,A,2,5,0
2,1,2,9,27.8,28.972,30.145,B,2,7,1
2,1,2,9,27.8,30.383,30.638,D,3,7,0
2,1,2,9,27.8,30.791,31.182,C,4,5,0
2,1,2,9,27.8,31.522,32.202,C,4,5,1
2,1,2,10,34.77,35.428,35.683,B,1,7,0
2,1,2,10,34.77,35.734,36.159,C,2,9,0
2,1,2,10,34.77,36.193,36.448,A,3,5,0
2,1,2,10,34.77,36.482,37.808,D,4,7,1
2,2,3,1,70.45,71.023,71.244,D,1,5,0
2,2,3,1,70.45,71.329,71.601,C,2,7,0
2,2,3,1,70.45,71.652,71.839,D,1,5,0
2,2,3,1,70.45,71.958,72.281,C,2,7,0
2,2,3,1,70.45,72.332,73.318,B,3,7,1
2,2,3,2,7.29,8.307,8.681,C,1,7,0
2,2,3,2,7.29,8.766,9.021,B,2,9,0
2,2,3,2,7.29,9.242,9.565,D,3,9,0
2,2,3,2,7.29,9.701,10.5,A,4,5,0
2,2,3,3,25.02,25.702,25.991,D,2,7,0
2,2,3,3,25.02,26.025,27.419,C,3,9,1
2,2,3,4,28.07,28.444,30.875,D,2,5,1
2,2,3,4,28.07,31.215,31.453,B,3,7,0
2,2,3,4,28.07,31.504,31.997,A,4,7,0
2,2,3,4,28.07,32.371,33.068,A,7,7,1
2,2,3,5,36.12,36.719,37.739,C,2,5,1
2,2,3,5,36.12,37.926,38.198,A,3,7,0
2,2,3,5,36.12,38.249,39.847,B,4,9,1
2,2,3,6,35.77,35.922,36.415,B,2,5,0
2,2,3,6,35.77,36.432,36.772,A,1,9,0
2,2,3,6,35.77,37.078,37.35,D,3,5,0
2,2,3,6,35.77,37.401,38.013,C,4,7,0
2,2,3,7,15.82,16.172,17.039,B,1,5,0
2,2,3,7,15.82,17.107,17.379,D,2,7,0
2,2,3,7,15.82,17.447,17.719,A,3,9,0
2,2,3,7,15.82,17.753,18.688,C,4,9,0
2,2,3,8,25.76,26.233,26.505,C,1,5,0
2,2,3,8,25.76,26.658,27.049,C,1,5,0
2,2,3,8,25.76,27.117,27.389,B,2,7,0
2,2,3,8,25.76,27.44,27.746,D,3,9,0
2,2,3,8,25.76,27.814,29.021,A,4,5,1
2,2,3,9,29.27,29.709,30.27,A,1,5,0
2,2,3,9,29.27,30.338,31.392,C,2,7,1
2,2,3,9,29.27,31.426,31.732,D,3,5,0
2,2,3,9,29.27,31.783,32.973,B,4,9,1
2,2,3,10,24.07,24.448,24.873,A,1,9,0
2,2,3,10,24.07,24.924,25.91,C,3,5,1
3,0,1,1,40.65,40.82,41.194,C,3,7,0
3,0,1,1,40.65,41.245,41.568,B,2,5,0
3,0,1,1,40.65,41.84,42.469,B,2,7,0
3,0,1,1,40.65,42.52,43.574,B,2,7,1
3,0,1,2,27.05,27.372,27.695,A,3,9,0
3,0,1,2,27.05,27.772,28.095,C,2,5,0
3,0,1,2,27.05,28.435,28.962,D,4,7,0
3,0,1,2,27.05,29.013,29.404,A,3,7,0
3,0,1,2,27.05,29.676,30.067,B,1,7,0
3,0,1,2,27.05,30.101,30.407,B,1,7,0
3,0,1,2,27.05,30.492,30.951,D,4,7,0
3,0,1,2,27.05,31.087,31.444,A,3,9,0
3,0,1,3,30.72,31.098,31.387,C,3,5,0
3,0,1,3,30.72,31.846,32.152,D,2,9,0
3,0,1,3,30.72,32.339,33.189,A,4,7,0
3,0,1,3,30.72,33.308,34.209,A,4,7,1
3,0,1,4,16.97,17.193,17.482,A,3,7,0
3,0,1,4,16.97,17.737,18.06,C,1,7,0
3,0,1,4,16.97,18.57,18.774,D,2,9,0
3,0,1,4,16.97,19.046,19.403,D,2,9,0
3,0,1,4,16.97,19.93,20.627,B,4,5,0
3,0,1,4,16.97,20.695,21.409,B,4,5,1
3,0,1,5,43.52,43.675,43.879,C,3,9,0
3,0,1,5,43.52,44.304,44.576,D,1,7,0
3,0,1,5,43.52,44.729,45.001,B,4,9,0
3,0,1,5,43.52,45.035,45.97,C,3,9,0
3,0,1,5,43.52,46.055,46.837,C,3,9,1
3,0,1,6,28.5,28.784,29.073,D,3,7,0
3,0,1,6,28.5,29.141,29.311,B,4,5,0
3,0,1,6,28.5,29.498,29.872,C,2,9,0
3,0,1,6,28.5,30.093,30.365,A,1,5,0
3,0,1,6,28.5,30.756,30.977,D,3,7,0
3,0,1,6,28.5,31.096,31.64,B,4,5,0
3,0,1,6,28.5,31.878,32.133,C,2,9,0
3,0,1,7,14.74,14.991,15.195,A,3,7,0
3,0,1,7,14.74,15.569,15.756,C,1,9,0
3,0,1,7,14.74,16.147,16.402,B,4,7,0
3,0,1,7,14.74,16.538,16.742,A,3,7,0
3,0,1,7,14.74,16.946,17.167,D,2,5,0
3,0,1,8,35.9,36.191,36.412,B,2,5,0
3,0,1,8,35.9,36.956,37.194,D,3,7,0
3,0,1,8,35.9,37.296,37.602,A,4,9,0
3,0,1,8,35.9,37.704,38.452,D,3,7,0
3,0,1,8,35.9,38.605,39.234,D,3,7,1
3,0,1,9,26.58,26.907,27.111,D,2,5,0
3,0,1,9,26.58,27.298,27.553,A,1,7,0
3,0,1,9,26.58,27.689,28.131,D,2,5,0
3,0,1,9,26.58,28.556,29.372,D,2,5,1
3,0,1,9,26.58,30.819,31.465,A,1,7,1
3,0,1,9,26.58,32.927,35.817,A,1,7,1
3,0,1,10,12.12,12.506,12.744,A,1,7,0
3,0,1,10,12.12,13.696,13.917,D,4,7,0
3,0,1,10,12.12,14.07,16.025,C,3,5,1
3,1,2,1,64.48,65.072,65.31,C,4,5,0
3,1,2,1,64.48,65.361,65.684,A,3,7,0
3,1,2,1,64.48,65.769,65.99,B,2,5,0
3,1,2,1,64.48,66.007,66.347,D,1,9,0
3,1,2,1,64.48,66.585,67.197,C,4,5,1
3,1,2,2,16.7,17.103,17.409,C,2,5,0
3,1,2,2,16.7,17.494,17.732,D,3,7,0
3,1,2,2,16.7,17.766,18.004,B,4,9,0
3,1,2,2,16.7,18.106,18.582,A,1,7,0
3,1,2,3,20.75,21.058,21.534,D,3,5,0
3,1,2,3,20.75,22.282,22.605,C,1,7,0
3,1,2,3,20.75,22.69,23.2,A,2,9,1
3,1,2,4,8.38,9.123,9.429,B,4,9,0
3,1,2,4,8.38,9.633,9.854,D,1,5,0
3,1,2,4,8.38,9.905,10.415,A,2,7,1
3,1,2,4,8.38,10.738,11.163,D,1,5,1
3,1,2,5,22.6,22.978,23.216,A,3,7,0
3,1,2,5,22.6,23.267,23.454,B,4,7,0
3,1,2,5,22.6,23.59,23.794,D,2,9,0
3,1,2,5,22.6,23.828,24.508,A,3,7,1
3,1,2,5,22.6,24.882,25.358,B,4,7,1
3,1,2,6,34.49,35.063,35.25,C,4,9,0
3,1,2,6,34.49,35.284,35.573,D,3,9,0
3,1,2,6,34.49,35.641,35.879,B,1,7,0
3,1,2,7,13.52,13.842,14.046,A,3,5,0
3,1,2,7,13.52,14.59,14.777,C,4,7,0
3,1,2,7,13.52,14.93,15.236,B,1,9,0
3,1,2,8,28.2,28.384,28.639,C,2,7,0
3,1,2,8,28.2,28.741,28.945,A,1,5,0
3,1,2,8,28.2,29.047,29.285,D,3,9,0
3,1,2,8,28.2,29.336,31.325,B,4,9,1
3,1,2,9,35.35,35.574,35.88,C,4,7,0
